layer,lambda_reg,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
21,0.25,270,0.7838686342592592,0.043702737111467715,0.21688548900462962,0.05011488209204939,0.5696397569444445,0.08092572455725054,0.5177879050925925,0.07133050953644275,0.7917824074074075,0.06138928058188821,0.6120225694444444,0.05910749251301169
21,0.5,270,0.7875868055555556,0.0459098818884936,0.20440357349537036,0.04363630454713998,0.5154441550925926,0.0793885349080277,0.5177879050925925,0.07133050953644275,0.823046875,0.053889420933844426,0.6057436342592593,0.058408350086849484
21,0.75,270,0.7881221064814815,0.04889049942669034,0.19919704861111112,0.041864829556617994,0.4707175925925926,0.07673753358087122,0.5177879050925925,0.07133050953644275,0.8523871527777778,0.04708249231698278,0.5996600115740741,0.05992918032566874
22,0.25,270,0.7907841435185186,0.04299935243094435,0.2162037037037037,0.050582553882839096,0.5708550347222222,0.08130953238887613,0.5177879050925925,0.07133050953644275,0.795384837962963,0.06226614026172617,0.6243055555555556,0.05792781617821347
22,0.5,270,0.7935329861111111,0.045196465182716875,0.20396050347222222,0.04356578277354551,0.5154296875,0.07954886461721968,0.5177879050925925,0.07133050953644275,0.8262008101851852,0.05496657318935214,0.6157552083333333,0.05777627078968361
22,0.75,270,0.794212962962963,0.04776511134765817,0.19915002893518519,0.04135684914409309,0.4698350694444444,0.07674109441303945,0.5177879050925925,0.07133050953644275,0.8556134259259259,0.047648440198072885,0.6077763310185185,0.05907835235038173
23,0.25,270,0.7974826388888889,0.04165680945323708,0.21459056712962962,0.05010430271791467,0.5749204282407407,0.07990628368048726,0.5177879050925925,0.07133050953644275,0.7981336805555556,0.06228486132484838,0.6349537037037037,0.055075136013833875
23,0.5,270,0.8002893518518519,0.04360049487562438,0.20105613425925925,0.04280564745121179,0.5171440972222222,0.07795216220848782,0.5177879050925925,0.07133050953644275,0.8255208333333334,0.05652001646571524,0.6269675925925926,0.05535870562800378
23,0.75,270,0.8015769675925926,0.04585342509156129,0.19542824074074075,0.04039660675475758,0.46964699074074073,0.07499734867748788,0.5177879050925925,0.07133050953644275,0.8547309027777777,0.04904976701983444,0.6187934027777777,0.056333662277488546
24,0.25,270,0.8051215277777778,0.03993998982752549,0.21581127025462962,0.05010433355967966,0.5800491898148148,0.08056413224034921,0.5177879050925925,0.07133050953644275,0.7939091435185185,0.06402550514592764,0.6558521412037037,0.05352573503050268
24,0.5,270,0.8080584490740741,0.0415987467460398,0.20037073206018519,0.04216158927379151,0.520384837962963,0.07828456195728947,0.5177879050925925,0.07133050953644275,0.8212673611111111,0.05884296281837446,0.6425491898148148,0.0533292732734171
24,0.75,270,0.8086950231481481,0.043410254467904405,0.19505750868055555,0.03996510545133883,0.47251880787037037,0.07493709827162233,0.5177879050925925,0.07133050953644275,0.8485677083333333,0.052434956728677776,0.632103587962963,0.05467592852911251
25,0.25,270,0.8152488425925926,0.0384046871211493,0.21857819733796297,0.05208165122875468,0.5898582175925926,0.08036537244719578,0.5177879050925925,0.07133050953644275,0.7731770833333333,0.0652224619722193,0.7108506944444445,0.050138305773386654
25,0.5,270,0.8186197916666667,0.03953583304479264,0.20028754340277777,0.042582465125706584,0.5275462962962963,0.07776256863341519,0.5177879050925925,0.07133050953644275,0.8017795138888889,0.060841050338353894,0.6941695601851852,0.05104758171574157
25,0.75,270,0.818359375,0.04167310876848494,0.19533781828703703,0.040321390145628314,0.47868200231481484,0.07428316382161736,0.5177879050925925,0.07133050953644275,0.8289496527777778,0.05573411855487559,0.6792607060185185,0.05342405595450704
26,0.25,270,0.8267939814814815,0.037009606269917096,0.22010091145833333,0.05988404015065163,0.6209924768518519,0.07707457842201769,0.5177879050925925,0.07133050953644275,0.7116174768518518,0.06776457438115059,0.8227141203703704,0.032740721428790184
26,0.5,270,0.8377893518518519,0.034658675453432805,0.1923683449074074,0.043845047846748905,0.5572048611111111,0.07413641672692324,0.5177879050925925,0.07133050953644275,0.7450810185185185,0.06486930373286501,0.8056712962962963,0.03601139280324771
26,0.75,270,0.8359375,0.03656204247497847,0.18109447337962964,0.035882553473672384,0.5068938078703704,0.07064779707884036,0.5177879050925925,0.07133050953644275,0.7739583333333333,0.06159060624622701,0.7857638888888889,0.041140796837789886
27,0.25,270,0.8387586805555556,0.03645071121548098,0.24888237847222222,0.06788966662621668,0.6864438657407408,0.06512207347616462,0.5177879050925925,0.07133050953644275,0.5662543402777778,0.07032429076915633,0.9640335648148148,0.011714855605762051
27,0.5,270,0.8627314814814815,0.03195869918129911,0.19202293113425925,0.05327187912953923,0.6065176504629629,0.06451941491764795,0.5177879050925925,0.07133050953644275,0.6277199074074075,0.06838255902174453,0.9517071759259259,0.01516322421666896
27,0.75,270,0.8775752314814815,0.028213126156175723,0.15923755787037036,0.038456767827772076,0.5422815393518519,0.062499499744145294,0.5177879050925925,0.07133050953644275,0.6828703703703703,0.0651279213350211,0.9327546296296296,0.019285990105006753
